DATE	COREFLEXCPIM159SFRBATL	CORESTICKM159SFRBATL	CPIAUCSL	CPILFESL	GS10	GS2	GS20	GS30	GS5	GS7	MEDCPIM158SFRBCLE	PCEPI	PCEPILFE	PCETRIM12M159SFRBDAL	STICKCPIM157SFRBATL	TRMMEANCPIM158SFRBCLE
1947-01-01			21.480													
1947-02-01			21.620													
1947-03-01			22.000													
1947-04-01			22.000													
1947-05-01			21.950													
1947-06-01			22.080													
1947-07-01			22.230													
1947-08-01			22.400													
1947-09-01			22.840													
1947-10-01			22.910													
1947-11-01			23.060													
1947-12-01			23.410													
1948-01-01			23.680													
1948-02-01			23.670													
1948-03-01			23.500													
1948-04-01			23.820													
1948-05-01			24.010													
1948-06-01			24.150													
1948-07-01			24.400													
1948-08-01			24.430													
1948-09-01			24.360													
1948-10-01			24.310													
1948-11-01			24.160													
1948-12-01			24.050													
1949-01-01			24.010													
1949-02-01			23.910													
1949-03-01			23.910													
1949-04-01			23.920													
1949-05-01			23.910													
1949-06-01			23.920													
1949-07-01			23.700													
1949-08-01			23.700													
1949-09-01			23.750													
1949-10-01			23.670													
1949-11-01			23.700													
1949-12-01			23.610													
1950-01-01			23.510													
1950-02-01			23.610													
1950-03-01			23.640													
1950-04-01			23.650													
1950-05-01			23.770													
1950-06-01			23.880													
1950-07-01			24.070													
1950-08-01			24.200													
1950-09-01			24.340													
1950-10-01			24.500													
1950-11-01			24.600													
1950-12-01			24.980													
1951-01-01			25.380													
1951-02-01			25.830													
1951-03-01			25.880													
1951-04-01			25.920													
1951-05-01			25.990													
1951-06-01			25.930													
1951-07-01			25.910													
1951-08-01			25.860													
1951-09-01			26.030													
1951-10-01			26.160													
1951-11-01			26.320													
1951-12-01			26.470													
1952-01-01			26.450													
1952-02-01			26.410													
1952-03-01			26.390													
1952-04-01			26.460													
1952-05-01			26.470													
1952-06-01			26.530													
1952-07-01			26.680													
1952-08-01			26.690													
1952-09-01			26.630													
1952-10-01			26.690													
1952-11-01			26.690													
1952-12-01			26.710													
1953-01-01			26.640													
1953-02-01			26.590													
1953-03-01			26.630													
1953-04-01			26.690		2.83		3.08		2.62							
1953-05-01			26.700		3.05		3.18		2.87							
1953-06-01			26.770		3.11		3.21		2.94							
1953-07-01			26.790		2.93		3.12		2.75							
1953-08-01			26.850		2.95		3.10		2.80							
1953-09-01			26.890		2.87		3.07		2.71							
1953-10-01			26.950		2.66		2.95		2.43							
1953-11-01			26.850		2.68		2.95		2.42							
1953-12-01			26.870		2.59		2.89		2.32							
1954-01-01			26.940		2.48		2.80		2.17							
1954-02-01			26.990		2.47		2.72		2.04							
1954-03-01			26.930		2.37		2.61		1.93							
1954-04-01			26.860		2.29		2.60		1.87							
1954-05-01			26.930		2.37		2.66		1.92							
1954-06-01			26.940		2.38		2.64		1.92							
1954-07-01			26.860		2.30		2.57		1.85							
1954-08-01			26.850		2.36		2.58		1.90							
1954-09-01			26.810		2.38		2.60		1.96							
1954-10-01			26.720		2.43		2.61		2.02							
1954-11-01			26.780		2.48		2.65		2.09							
1954-12-01			26.770		2.51		2.67		2.16							
1955-01-01			26.770		2.61		2.75		2.32							
1955-02-01			26.820		2.65		2.83		2.38							
1955-03-01			26.790		2.68		2.84		2.48							
1955-04-01			26.790		2.75		2.85		2.55							
1955-05-01			26.770		2.76		2.87		2.56							
1955-06-01			26.710		2.78		2.86		2.59							
1955-07-01			26.760		2.90		2.94		2.72							
1955-08-01			26.720		2.97		3.01		2.86							
1955-09-01			26.850		2.97		3.00		2.85							
1955-10-01			26.820		2.88		2.93		2.76							
1955-11-01			26.880		2.89		2.93		2.81							
1955-12-01			26.870		2.96		2.98		2.93							
1956-01-01			26.830		2.90		2.94		2.84							
1956-02-01			26.860		2.84		2.91		2.74							
1956-03-01			26.890		2.96		2.99		2.93							
1956-04-01			26.930		3.18		3.14		3.20							
1956-05-01			27.030		3.07		3.06		3.08							
1956-06-01			27.150		3.00		3.00		2.97							
1956-07-01			27.290		3.11		3.08		3.12							
1956-08-01			27.310		3.33		3.22		3.41							
1956-09-01			27.350		3.38		3.28		3.47							
1956-10-01			27.510		3.34		3.26		3.40							
1956-11-01			27.510		3.49		3.37		3.56							
1956-12-01			27.630		3.59		3.45		3.70							
1957-01-01			27.670	28.500	3.46		3.41		3.47							
1957-02-01			27.800	28.600	3.34		3.30		3.39							
1957-03-01			27.860	28.700	3.41		3.32		3.46							
1957-04-01			27.930	28.800	3.48		3.40		3.53							
1957-05-01			28.000	28.800	3.60		3.49		3.64							
1957-06-01			28.110	28.900	3.80		3.65		3.83							
1957-07-01			28.190	29.000	3.93		3.72		4.00							
1957-08-01			28.280	29.000	3.93		3.75		4.00							
1957-09-01			28.320	29.100	3.92		3.73		4.03							
1957-10-01			28.320	29.200	3.97		3.76		4.08							
1957-11-01			28.410	29.300	3.72		3.61		3.72							
1957-12-01			28.470	29.300	3.21		3.38		3.08							
1958-01-01			28.640	29.300	3.09		3.27		2.88							
1958-02-01			28.700	29.400	3.05		3.31		2.78							
1958-03-01			28.870	29.500	2.98		3.29		2.64							
1958-04-01			28.940	29.500	2.88		3.17		2.46							
1958-05-01			28.940	29.500	2.92		3.17		2.41							
1958-06-01			28.910	29.600	2.97		3.23		2.46							
1958-07-01			28.890	29.600	3.20		3.39		2.77							
1958-08-01			28.940	29.600	3.54		3.65		3.29							
1958-09-01			28.910	29.700	3.76		3.80		3.69							
1958-10-01			28.910	29.700	3.80		3.81		3.78							
1958-11-01			28.950	29.800	3.74		3.76		3.70							
1958-12-01			28.970	29.900	3.86		3.86		3.82							
1959-01-01			29.010	29.900	4.02		3.95		4.01			16.042	16.688			
1959-02-01			29.000	29.900	3.96		3.96		3.96			16.057	16.701			
1959-03-01			28.970	30.000	3.99		3.99		3.99			16.068	16.719			
1959-04-01			28.980	30.000	4.12		4.06		4.12			16.100	16.762			
1959-05-01			29.040	30.100	4.31		4.13		4.35			16.109	16.783			
1959-06-01			29.110	30.200	4.34		4.14		4.50			16.155	16.832			
1959-07-01			29.150	30.200	4.40		4.16		4.58			16.189	16.871			
1959-08-01			29.180	30.200	4.43		4.15		4.57			16.212	16.899			
1959-09-01			29.250	30.300	4.68		4.29		4.90			16.255	16.943			
1959-10-01			29.350	30.400	4.53		4.19		4.72			16.294	16.972			
1959-11-01			29.350	30.400	4.53		4.20		4.75			16.304	17.003			
1959-12-01			29.410	30.500	4.69		4.33		5.01			16.323	17.029			
1960-01-01			29.370	30.500	4.72		4.42		4.92			16.314	17.033			
1960-02-01			29.410	30.600	4.49		4.28		4.69			16.331	17.065			
1960-03-01			29.410	30.600	4.25		4.14		4.31			16.340	17.067			
1960-04-01			29.540	30.600	4.28		4.23		4.29			16.400	17.098			
1960-05-01			29.570	30.600	4.35		4.20		4.49			16.417	17.125			
1960-06-01			29.610	30.700	4.15		4.04		4.12			16.424	17.136			
1960-07-01			29.550	30.600	3.90		3.91		3.79			16.453	17.166			
1960-08-01			29.610	30.600	3.80		3.84		3.62			16.481	17.191			
1960-09-01			29.610	30.600	3.80		3.86		3.61			16.491	17.204			
1960-10-01			29.750	30.800	3.89		3.92		3.76			16.510	17.214			
1960-11-01			29.780	30.800	3.93		3.96		3.81			16.565	17.260			
1960-12-01			29.810	30.700	3.84		3.91		3.67			16.569	17.255			
1961-01-01			29.840	30.800	3.84		3.90		3.67			16.571	17.259			
1961-02-01			29.840	30.800	3.78		3.84		3.66			16.587	17.276			
1961-03-01			29.840	30.900	3.74		3.81		3.60			16.578	17.282			
1961-04-01			29.810	30.900	3.78		3.81		3.57			16.568	17.306			
1961-05-01			29.840	30.900	3.71		3.74		3.47			16.577	17.328			
1961-06-01			29.840	31.000	3.88		3.89		3.81			16.585	17.354			
1961-07-01			29.920	31.000	3.92		3.93		3.84			16.621	17.381			
1961-08-01			29.940	31.100	4.04		4.04		3.96			16.635	17.399			
1961-09-01			29.980	31.100	3.98		4.04		3.90			16.654	17.434			
1961-10-01			29.980	31.100	3.92		4.01		3.80			16.652	17.440			
1961-11-01			29.980	31.200	3.94		4.00		3.82			16.653	17.443			
